,uci_moves
205,d2d4 d7d5 g1f3 g8f6 e2e3 e7e6 f1d3 c7c5 c2c3
206,e2e4 d7d6 d2d4 g8f6 b1c3 c7c6
207,e2e4 e7e5 d2d4 e5d4 c2c3 d7d5
208,e2e4 e7e5 d2d4 e5d4 c2c3
209,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 f6e4
210,d2d4 f7f5 g2g3 g8f6 f1g2 e7e6 g1h3
211,d2d4 f7f5 e2e4 f5e4 b1c3 g8f6 f2f3
212,d2d4 f7f5 c2c4 e7e6
213,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2
214,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7
215,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8
216,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1h3
217,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d6 b1c3 a7a5
218,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d6
219,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d6 b1c3 f6e4
220,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d6 b1c3 d8e8 d1c2
221,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d6 b1c3 d8e8
222,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d6 b1c3 d8e8 b2b3
223,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d5 b1c3 c7c6
224,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d5 b2b3 c7c6 c1a3
225,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d5 b2b3
226,d2d4 f7f5 g2g3
227,d2d4 f7f5 c2c4 g8f6 g2g3
228,d2d4 f7f5
229,d2d4 f7f5 c1g5
230,d2d4 f7f5 h2h3 g8f6 g2g4
231,d2d4 f7f5 d1d3
232,d2d4 f7f5 h2h3
233,d2d4 f7f5 g2g4
234,d2d4 f7f5 c2c4 g8f6 g2g3 g7g6
235,d2d4 f7f5 c2c4 g8f6 g2g3 g7g6 f1g2 f8g7 g1f3
236,d2d4 f7f5 c2c4 g8f6 g2g3 g7g6 f1g2 f8g7 g1f3 e8g8 e1g1 d7d6 b1c3 b8c6
237,d2d4 f7f5 c2c4 g8f6 g2g3 g7g6 f1g2 f8g7 g1f3 e8g8 e1g1 d7d6 b1c3 c7c6
238,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 d7d5 g1f3 c7c6 e1g1 f8d6
239,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8b4
240,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8b4 c1d2 b4e7
241,d2d4 f7f5 c2c4 g8f6
242,d2d4 f7f5 c2c4 g8f6 b1c3
243,d2d4 f7f5 b1c3
244,d2d4 f7f5 c2c4 e7e6 b1c3
245,d2d4 f7f5 g2g3 g8f6 f1g2 g7g6
246,d2d4 f7f5 e2e4 f5e4
247,d2d4 f7f5 e2e4 f5e4 b1c3 g8f6 c1g5 c7c6
248,d2d4 f7f5 e2e4 f5e4 b1c3 g8f6 c1g5
249,d2d4 f7f5 e2e4 f5e4 b1c3 g8f6 c1g5 g7g6 f2f3
250,d2d4 f7f5 c2c4 g8f6 g2g3 e7e6 f1g2 f8e7 g1f3 e8g8 e1g1 d7d5
251,d2d4 f7f5 c2c4 e7e6 g1f3 g8f6 g2g3 c7c6 f1g2 d7d5 e1g1 f8d6
252,e2e4 e7e5 g1f3 d7d5
253,e2e4 e7e5 g1f3 d7d5 e4d5 f8d6
254,e2e4 e7e5 g1f3 d7d5 e4d5 e5e4
255,d2d4 e7e6 c2c4 b7b6
256,c2c4 e7e6 d2d4 b7b6 e2e4 c8b7 f1d3 b8c6
257,c2c4 g7g6 e2e4 e7e5
258,c2c4 e7e6
259,c2c4 e7e6 g1f3 d7d5 g2g3
260,c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8d6
261,c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 d5c4
262,c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 c7c6
263,c2c4 e7e6 g1f3 d7d5 g2g3 g8f6 f1g2 f8e7 e1g1 c7c5 c4d5 f6d5 b1c3 b8c6
264,c2c4 e7e6 g1f3 d7d5
